loudness,speechiness,acousticness,liveness,valence
-5.444,0.0437,0.3,0.355,0.894
-4.918,0.0488,0.0103,0.612,0.684
-9.007,0.029,0.173,0.251,0.278
-4.063,0.0466,0.0263,0.347,0.544
-4.806,0.0516,0.0408,0.0845,0.879
-6.959,0.0654,0.119,0.07,0.714
-4.244,0.0572,0.0302,0.0454,0.76
-4.264,0.0322,0.0267,0.467,0.861
-3.525,0.102,0.273,0.149,0.734
-5.627,0.0379,0.00793,0.0634,0.869
-7.932,0.0292,0.0328,0.36,0.808
-9.664,0.0287,0.0813,0.533,0.96
-5.798,0.0989,0.0291,0.252,0.568
-7.92,0.0304,0.011,0.106,0.147
-5.153,0.0478,0.0921,0.119,0.398
-5.642,0.29,0.0807,0.0841,0.731
-5.8,0.056,0.396,0.0771,0.649
-6.149,0.0552,0.00181,0.285,0.782
-6.87,0.0369,0.0173,0.0785,0.825
-2.429,0.27,0.0281,0.0856,0.309
-5.87,0.0584,0.00958,0.209,0.4
-3.94,0.0446,0.144,0.104,0.932
-7.278,0.0304,0.0117,0.126,0.558
-5.425,0.143,0.0421,0.294,0.758
-5.825,0.0327,0.00117,0.31,0.0783
-5.607,0.046,0.0175,0.0935,0.512
-7.984,0.0465,0.141,0.0797,0.587
-8.951,0.24,0.017,0.0669,0.817
-10.644,0.165,0.35,0.277,0.546
-9.635,0.0419,0.00145,0.0839,0.53
-3.302,0.347,0.0738,0.5,0.53
-7.981,0.0373,0.309,0.0356,0.74
-8.527,0.0663,0.00149,0.14,0.871
-5.669,0.0858,0.0324,0.0602,0.927
-4.842,0.0454,0.116,0.071,0.686
-9.923,0.077,0.241,0.0817,0.868
-7.645,0.0548,0.292,0.0956,0.631
-6.307,0.14,0.168,0.0584,0.942
-7.124,0.0367,0.02,0.118,0.564
-5.564,0.0276,0.247,0.237,0.643
-5.436,0.0329,0.0395,0.0483,0.542
-1.916,0.0411,0.00916,0.326,0.766
-5.153,0.168,0.434,0.265,0.934
-1.299,0.0774,0.0827,0.163,0.621
-11.241,0.291,0.339,0.18,0.527
-5.088,0.0252,0.231,0.0765,0.683
-8.75,0.0279,0.191,0.166,0.774
-4.715,0.0405,0.0548,0.0725,0.348
-2.773,0.162,0.0343,0.0886,0.8
-8.693,0.108,0.067,0.0812,0.726
-3.081,0.076,0.0993,0.0981,0.801
-4.012,0.0806,0.000915,0.373,0.858
-3.972,0.206,0.112,0.235,0.508
-7.693,0.0771,0.282,0.14,0.272
-5.125,0.24,0.301,0.0352,0.801
-5.882,0.0331,0.592,0.106,0.148
-4.505,0.0993,0.0605,0.148,0.784
-6.166,0.0844,0.0402,0.0419,0.868
-6.341,0.0497,0.403,0.051,0.626
-5.631,0.0333,0.0136,0.56,0.628
-3.196,0.046,0.123,0.347,0.834
-6.046,0.0311,0.0424,0.101,0.694
-5.599,0.0315,0.584,0.103,0.373
-6.981,0.0365,0.376,0.06,0.827
-8.356,0.0376,0.38,0.111,0.298
-7.48,0.036,0.348,0.135,0.591
-3.265,0.0574,0.00316,0.0756,0.513
-8.529,0.0617,0.0101,0.0272,0.852
-7.499,0.0487,0.23,0.0951,0.888
-5.931,0.126,0.0406,0.0348,0.68
-8.196,0.0445,0.0661,0.0394,0.433
-6.729,0.0917,0.0854,0.0452,0.668
-5.802,0.0328,0.0504,0.0395,0.973
-8.923,0.0302,0.1,0.334,0.862
-6.588,0.0311,0.0585,0.35,0.961
-4.639,0.0567,0.00543,0.0537,0.683
-5.424,0.0434,0.154,0.118,0.577
-5.708,0.0286,0.00664,0.168,0.543
-4.929,0.0337,0.0593,0.107,0.224
-5.658,0.32,0.0626,0.0515,0.666
-3.894,0.0404,0.000127,0.24,0.332
-9.131,0.0298,0.52,0.268,0.453
-8.458,0.028,0.189,0.0882,0.213
-5.975,0.0255,0.098,0.257,0.328
-9.197,0.0242,0.0498,0.0696,0.407
-3.782,0.206,0.362,0.169,0.927
-4.666,0.0801,0.0459,0.0584,0.882
-8.964,0.0841,0.365,0.0969,0.578
-5.42,0.0296,0.0103,0.216,0.741
-6.814,0.0386,0.0404,0.375,0.527
-9.487,0.026,0.315,0.09,0.631
-4.353,0.0296,0.252,0.159,0.518
-8.412,0.0302,0.00425,0.117,0.141
-7.754,0.0597,0.0541,0.269,0.768
-5.959,0.0368,0.26,0.431,0.599
-3.904,0.0495,0.346,0.174,0.633
-3.205,0.106,0.226,0.246,0.779
-6.254,0.0364,5.15E-05,0.206,0.431
-5.707,0.0317,0.262,0.0669,0.966
-6.822,0.108,0.00689,0.142,0.565
-4.596,0.0713,0.0561,0.313,0.654
-2.027,0.41,0.0559,0.775,0.619
-4.325,0.238,0.0371,0.518,0.507
-7.516,0.0339,0.0263,0.115,0.964
-3.769,0.0534,0.0144,0.665,0.653
-5.085,0.036,0.138,0.273,0.607
-4.862,0.0407,0.237,0.203,0.871
-5.428,0.0526,0.0371,0.058,0.903
-5.862,0.0276,0.153,0.154,0.497
-6.03,0.0447,0.063,0.318,0.604
-4.983,0.0586,0.201,0.404,0.667
-3.579,0.106,0.415,0.107,0.963
-6.342,0.0672,0.133,0.0681,0.709
-8.419,0.329,0.0266,0.152,0.57
-3.75,0.0449,0.132,0.0863,0.969
-10.587,0.0441,0.00188,0.147,0.61
