artist,year
Britney Spears,2000
blink-182,1999
Faith Hill,1999
Bon Jovi,2000
*NSYNC,2000
Sisqo,1999
Eminem,2000
Robbie Williams,2000
Destiny's Child,1999
Modjo,2001
Gigi D'Agostino,2011
Eiffel 65,1999
Bomfunk MC's,2000
Sting,1999
Melanie C,1999
Aaliyah,2002
Anastacia,1999
Alice Deejay,2000
Gigi D'Agostino,1999
Dr. Dre,1999
Linkin Park,2000
Tom Jones,1999
Sonique,2000
M.O.P.,2000
Melanie C,1999
Limp Bizkit,2000
Darude,2001
Da Brat,2000
Moloko,2000
Chicane,2016
DMX,1999
Debelah Morgan,2000
Madonna,2000
Ruff Endz,2000
Britney Spears,1999
Montell Jordan,1999
Kylie Minogue,2000
JAY-Z,1999
LeAnn Rimes,2001
Avant,2000
Enrique Iglesias,1999
Toni Braxton,2000
Bow Wow,2000
Dr. Dre,1999
Missy Elliott,1998
Backstreet Boys,1999
Samantha Mumba,2018
Mýa,2000
Mary Mary,2000
Next,2004
Janet Jackson,2001
Ricky Martin,2000
Jagged Edge,2000
Sisqo,1999
JAY-Z,2000
Mariah Carey,1999
Baha Men,2000
Donell Jones,1999
LeAnn Rimes,2001
Oasis,2000
DJ Ötzi,2010
P!nk,2000
Mariah Carey,2011
Craig David,2000
Christina Aguilera,1999
Madonna,2000
Red Hot Chili Peppers,1999
Sammie,2000
Craig David,2000
Santana,1999
Kandi,2000
P!nk,2000
Vengaboys,2000
Ronan Keating,2000
Madison Avenue,1999
Destiny's Child,1999
Céline Dion,1999
3 Doors Down,2000
Carl Thomas,2000
Mystikal,2000
Fuel,2000
Donell Jones,1999
Savage Garden,1999
Westlife,2000
All Saints,2000
Destiny's Child,2001
*NSYNC,2000
Erykah Badu,2000
Marc Anthony,1999
Matchbox Twenty,2000
Gabrielle,2001
Backstreet Boys,2000
Creed,1999
The Corrs,2000
Joe,2000
Wheatus,1999
Christina Aguilera,1999
Creed,1999
Britney Spears,2000
Nelly,2000
Shaggy,2000
Destiny's Child,2001
Eminem,2000
Kylie Minogue,2001
Christina Aguilera,2001
Nelly Furtado,2000
Shakira,2001
Jimmy Eat World,2001
Train,2001
Geri Halliwell,2001
Blu Cantrell,2001
Britney Spears,2001
Kylie Minogue,2001
Missy Elliott,2001
Mary J. Blige,2001
Faithless,2015
Limp Bizkit,2000
Lasgo,2001
iio,2006
Emma Bunton,2001
112,2001
Blue,2001
Jessica Simpson,2001
Crazy Town,1999
Michael Jackson,2001
Eve,2001
Jennifer Lopez,2001
Brandy,2002
Nickelback,2001
Daft Punk,2001
Outkast,2000
Fragma,2001
Mariah Carey,2001
Dido,1999
Joe,2000
P.O.D.,2001
Jennifer Lopez,2001
Missy Elliott,2001
Ricky Martin,2008
Christina Milian,2001
Roger Sanchez,2000
Gorillaz,2001
2Pac,2001
Tamia,2000
Mary J. Blige,2001
Jennifer Lopez,2001
Jamiroquai,2001
Case,2001
112,2001
Five,2001
Rui Da Silva,2001
Alien Ant Farm,2001
Erick Sermon,2001
D12,2001
Usher,2016
Madonna,2000
Blue,2001
Atomic Kitten,2001
Jagged Edge,2001
Afroman,2001
S Club 7,2001
Craig David,2000
Nelly Furtado,2000
The Supermen Lovers,2001
Mis-Teeq,2004
Jagged Edge,2000
S Club 7,2001
Enya,2000
Faith Hill,2001
Ronan Keating,2000
Destiny's Child,2001
Steps,2000
Sunshine Anderson,2001
Lenny Kravitz,2000
Daniel Bedingfield,2002
DB Boulevard,2018
Janet Jackson,2001
Atomic Kitten,2001
Ja Rule,2001
Destiny's Child,2001
DJ Pied Piper & The Masters Of Ceremonies,2001
Jennifer Lopez,2001
Musiq Soulchild,2000
So Solid Crew,2001
Robbie Williams,2001
Basement Jaxx,2001
Ludacris,2000
Gabrielle,2001
Nelly,2000
Trick Daddy,2001
Travis,2001
JAY-Z,2001
Gabrielle,2001
OPM,2000
K-Ci & JoJo,2019
Staind,2001
3LW,2000
Ginuwine,2001
*NSYNC,2001
Lifehouse,2000
Nelly,2002
Eminem,2002
Avril Lavigne,2002
Vanessa Carlton,2002
The Calling,2001
Shakira,2001
No Doubt,2001
Truth Hurts,2002
Busta Rhymes,2002
Eminem,2002
Diddy,2004
Christina Milian,2001
Madonna,2003
Jennifer Lopez,2002
Angie Martinez,2019
Linkin Park,2000
Las Ketchup,2002
Aaliyah,2019
Holly Valance,2002
Sugababes,2002
Marilyn Manson,2003
Brandy,2002
Chad Kroeger,2003
Britney Spears,2001
Scooter,2013
Missy Elliott,2001
Aaliyah,2002
Brandy,2002
Blue,2002
Busta Rhymes,2001
Céline Dion,2001
Scooter,2013
Eve,2002
Disturbing Tha Peace,2002
Khia,2015
Tweet,2002
Kylie Minogue,2000
Nelly,2002
Gareth Gates,2003
Christina Aguilera,2002
B2K,2002
Sugababes,2002
Dirty Vegas,2002
Fat Joe,2001
Liberty X,2019
No Doubt,2001
LL Cool J,2002
Red Hot Chili Peppers,2002
Musiq Soulchild,2002
Sean Paul,2002
Faith Evans,2001
Charli Baltimore,2002
Kylie Minogue,2001
N.O.R.E.,2002
Gareth Gates,2003
Diddy,2005
Big Brovaz,2001
No Doubt,2001
Ashanti,2002
Sophie Ellis-Bextor,2002
Justin Timberlake,2002
Mary J. Blige,2001
A1,2001
Eminem,2002
Ashanti,2002
Delta Goodrem,2003
P!nk,2001
Alicia Keys,2001
Daniel Bedingfield,2002
Coldplay,2002
Missy Elliott,2002
Ronan Keating,2002
Big Tymers,2002
Creed,2001
Ja Rule,2001
Ashanti,2002
Avril Lavigne,2002
DJ Sammy,2002
Britney Spears,2001
Cam’ron,2002
Red Hot Chili Peppers,2002
Elvis Presley,2002
Atomic Kitten,2002
*NSYNC,2001
Robbie Williams,2001
Alanis Morissette,2002
Usher,2001
Creed,2015
The Goo Goo Dolls,2002
Puddle Of Mudd,2001
Ludacris,2001
Blazin' Squad,2012
Default,2001
Michelle Branch,2001
Daniel Bedingfield,2002
Enrique Iglesias,2001
Puddle Of Mudd,2001
Coldplay,2002
Outkast,2001
P!nk,2001
50 Cent,2003
Sean Paul,2002
Eminem,2004
Beyoncé,2003
Counting Crows,2003
Black Eyed Peas,2003
Jennifer Lopez,2002
Black Eyed Peas,2003
t.A.T.u.,2020
Benny Benassi,2003
Busta Rhymes,2002
Panjabi MC,2003
Mis-Teeq,2004
JAY-Z,2002
50 Cent,2003
Jamelia,2003
Linkin Park,2003
DMX,2007
Evanescence,2003
Sugababes,2003
Craig David,2002
Three Days Grace,2003
Lil Jon & The East Side Boyz,2002
B2K,2003
Baby Bash,2003
Aaliyah,2002
Britney Spears,2003
Blue,2004
Delta Goodrem,2003
Justin Timberlake,2002
The White Stripes,2003
Youngbloodz,2003
Beyoncé,2003
Lil' Kim,2019
Christina Aguilera,2002
Nickelback,2003
Blue,2003
Ashanti,2003
Trapt,2002
Simply Red,2008
Lumidee,2003
Girls Aloud,2003
Nelly,2016
Room 5,2003
Fatman Scoop,2009
Limp Bizkit,2003
Sugababes,2003
50 Cent,2003
Pharrell Williams,2003
Chingy,2003
Eminem,2002
Lil' Kim,2003
Mýa,2003
50 Cent,2003
Nelly,2002
Missy Elliott,2002
Girls Aloud,2003
Ultrabeat,2003
Christina Aguilera,2002
Frankie J,2003
Snoop Dogg,2005
Floetry,2002
Ginuwine,2003
Electric Six,2003
Rachel Stevens,2003
Ludacris,2003
Nas,2002
3 Doors Down,2002
Tyrese,2002
Justin Timberlake,2002
Westlife,2003
No Doubt,2003
Amanda Perez,2003
JAY-Z,2002
Coldplay,2002
Kelly Rowland,2002
Missy Elliott,2002
Ashanti,2003
Junior Senior,2002
Audioslave,2002
Sean Paul,2002
Jaheim,2002
Jennifer Lopez,2002
Monica,2003
Dido,2003
The Roots,2002
Chingy,2003
Fabolous,2003
Kelly Clarkson,2003
Ja Rule,2002
Matchbox Twenty,2002
Outkast,2003
Fabolous,2003
Switchfoot,2003
Daniel Bedingfield,2002
Good Charlotte,2002
Wayne Wonder,2003
The Strokes,2003
Avril Lavigne,2002
Will Young,2003
Usher,2004
Maroon 5,2002
Britney Spears,2003
Outkast,2003
Hoobastank,2003
Anastacia,2004
Daddy Yankee,2004
Black Eyed Peas,2004
O-Zone,2004
Terror Squad,2004
Anastacia,1999
Gwen Stefani,2004
Ashanti,2004
The Rasmus,2003
Houston,2004
Beyoncé,2003
Linkin Park,2003
Lloyd Banks,2004
Akon,2004
D12,2004
Jay Sean,2004
Mario Winans,2016
Destiny's Child,2004
Eric Prydz,2004
Ciara,2004
Kelis,2003
LL Cool J,2004
Spiderbait,2004
George Michael,2004
Britney Spears,2004
Nina Sky,2004
Baby Bash,2003
Petey Pablo,2003
JAY-Z,2003
Juanes,2004
Avril Lavigne,2004
Robbie Williams,2004
Black Eyed Peas,2003
Ying Yang Twins,2003
Enrique Iglesias,2003
Kelis,2003
Linkin Park,2003
JoJo,2005
Christina Milian,2004
Avant,2003
Eminem,2004
Sugababes,2003
Snoop Dogg,2004
Sean Paul,2002
The Shapeshifters,2004
D12,2004
Basement Jaxx,2003
Kevin Lyttle,2004
Chingy,2003
T.I.,2004
DJ Casper,2004
Kylie Minogue,2004
Twista,2004
N.E.R.D,2004
Britney Spears,2003
U2,2004
Franz Ferdinand,2004
J-Kwon,2001
G-Unit,2003
Lil' Flip,2004
Kanye West,2004
Evanescence,2003
Nelly,2004
Lemar,2004
No Doubt,2003
Avril Lavigne,2004
Twista,2004
Green Day,2004
Kelis,2003
Scissor Sisters,2004
Alicia Keys,2003
Kanye West,2004
Special D.,2004
Ludacris,2003
Avril Lavigne,2004
Dido,2003
Eamon,2004
Beyoncé,2003
3 Doors Down,2002
Kanye West,2004
Twista,2004
Katie Melua,2003
Usher,2004
Lloyd,2004
LMC,2004
The Streets,2004
JUVENILE,2003
Outkast,2003
Girls Aloud,2004
Jessica Simpson,2003
Eminem,2004
