artist,popularity
Britney Spears,77
blink-182,79
Faith Hill,66
Bon Jovi,78
*NSYNC,65
Sisqo,69
Eminem,86
Robbie Williams,68
Destiny's Child,75
Modjo,77
Gigi D'Agostino,1
Eiffel 65,56
Bomfunk MC's,55
Sting,62
Melanie C,61
Aaliyah,53
Anastacia,64
Alice Deejay,73
Gigi D'Agostino,64
Dr. Dre,82
Linkin Park,83
Tom Jones,65
Sonique,62
M.O.P.,54
Melanie C,54
Limp Bizkit,72
Darude,69
Da Brat,53
Moloko,54
Chicane,47
DMX,71
Debelah Morgan,49
Madonna,58
Ruff Endz,52
Britney Spears,58
Montell Jordan,59
Kylie Minogue,55
JAY-Z,69
LeAnn Rimes,61
Avant,55
Enrique Iglesias,54
Toni Braxton,66
Bow Wow,36
Dr. Dre,79
Missy Elliott,49
Backstreet Boys,68
Samantha Mumba,43
Mýa,59
Mary Mary,64
Next,52
Janet Jackson,47
Ricky Martin,60
Jagged Edge,55
Sisqo,60
JAY-Z,59
Mariah Carey,59
Baha Men,65
Donell Jones,63
LeAnn Rimes,65
Oasis,0
DJ Ötzi,58
P!nk,52
Mariah Carey,0
Craig David,60
Christina Aguilera,61
Madonna,58
Red Hot Chili Peppers,78
Sammie,55
Craig David,70
Santana,66
Kandi,55
P!nk,55
Vengaboys,58
Ronan Keating,59
Madison Avenue,56
Destiny's Child,70
Céline Dion,64
3 Doors Down,78
Carl Thomas,52
Mystikal,57
Fuel,49
Donell Jones,57
Savage Garden,54
Westlife,68
All Saints,62
Destiny's Child,65
*NSYNC,60
Erykah Badu,54
Marc Anthony,56
Matchbox Twenty,54
Gabrielle,60
Backstreet Boys,70
Creed,64
The Corrs,68
Joe,65
Wheatus,71
Christina Aguilera,64
Creed,69
Britney Spears,65
Nelly,68
Shaggy,76
Destiny's Child,70
Eminem,83
Kylie Minogue,73
Christina Aguilera,68
Nelly Furtado,1
Shakira,74
Jimmy Eat World,78
Train,77
Geri Halliwell,62
Blu Cantrell,71
Britney Spears,69
Kylie Minogue,62
Missy Elliott,57
Mary J. Blige,76
Faithless,53
Limp Bizkit,73
Lasgo,65
